Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida,Superficie útil,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Planta,Gastos de comunidad,Superficie solar,Exterior,Interior
Casa unifamiliar en alquiler en Calle XIX,Las Matas-Los Peñascales (Las Rozas de Madrid),4.000,600,Anuncio actualizado el 28/10/2024,,,Alquiler,600 m²,600 m²,6,7,Unifamiliar,Entre 5 y 10 años,En buen estado,2805-002317,,,,,
Piso en alquiler en Zona Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),1.400,65,Anuncio actualizado el 28/10/2024,,,Alquiler,65 m²,,1,1,,,,IF5032-avda-1d-V T 40m,2ª,,,,
"Piso en alquiler en Calle Luis Garcia Cereceda, Número 3",La Finca (Pozuelo de Alarcón),5.500,190,Anuncio actualizado el 28/10/2024,Consumo:15 kWh/m² año,Emisiones:2 Kg CO₂/m² año,Alquiler,190 m²,170 m²,3,3,,Menos de 5 años,En buen estado,2805-002404,2ª,Incluidos,,,
"Estudio en alquiler en Calle de Pollensa, 5",Parque Empresarial (Las Rozas de Madrid),1.147,50,Anuncio actualizado el 03/07/2024,,,Alquiler,50 m²,,,1,,,,IF5032-tartesos,,,,,
"Piso en alquiler en Calle Gran Vía, cerca de Calle de García Molinas",Universidad-Malasaña (Distrito Centro. Madrid Capital),3.500,122,Anuncio actualizado el 03/10/2024,Consumo:70 kWh/m² año,Emisiones:15 Kg CO₂/m² año,Alquiler,122 m²,120 m²,2,2,,Entre 5 y 10 años,Reformado,4528417-000005,8ª,,,,
Piso en alquiler en Calle del Alcalde Sáinz de Baranda,Niño Jesús (Distrito Retiro. Madrid Capital),1.400,45,Anuncio actualizado el 28/10/2024,,,Alquiler,45 m²,,1,1,,,En buen estado,SA5184-106277345,2ª,,,,
Piso en alquiler en Calle de Felipe IV,Jerónimos (Distrito Retiro. Madrid Capital),3.750,107,Anuncio actualizado el 22/10/2024,Consumo:138 kWh/m² año,Emisiones:34 Kg CO₂/m² año,Alquiler,107 m²,89 m²,3,2,,Más de 50 años,Reformado,4400-23656,4ª,,,,
Piso en alquiler en Calle de Vista Alegre,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),1.450,69,Anuncio actualizado el 28/10/2024,,,Alquiler,69 m²,48 m²,1,1,,Menos de 5 años,En buen estado,2805-002408,1ª,,,,
Casa adosada en alquiler en Sector B,Sector B (Boadilla del Monte),3.600,448,Anuncio actualizado el 21/10/2024,,,Alquiler,448 m²,,5,2,Adosada,Menos de 5 años,En buen estado,TC170-581681,,,,,
"Ático en alquiler en Paseo de la Tierra de Melide, 30",Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),3.500,350,Anuncio actualizado el 28/10/2024,,,Alquiler,350 m²,280 m²,4,4,,Menos de 5 años,En buen estado,SA2557-105981723,4ª,,,,
Piso en alquiler en Prado de Somosaguas,Prado de Somosaguas (Pozuelo de Alarcón),2.200,175,Anuncio actualizado el 21/10/2024,,,Alquiler,175 m²,150 m²,4,2,,Entre 5 y 10 años,,500635-111253,2ª,Incluídos en el precio,,,
Piso en alquiler en Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),2.300,157,Anuncio actualizado el 25/10/2024,,,Alquiler,157 m²,150 m²,4,3,,Entre 20 y 30 años,En buen estado,500635-111256,3ª,Incluídos,,,
Piso en alquiler en Calle de Irún,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),3.000,85,Anuncio actualizado el 28/10/2024,,,Alquiler,85 m²,,2,2,,,En buen estado,SA5184-105690166,4ª,,,,
Piso en alquiler en Calle de la Piña,Buenavista (Distrito Carabanchel. Madrid Capital),1.075,62,Anuncio actualizado el 10/10/2024,,,Alquiler,62 m²,50 m²,1,1,,Entre 20 y 30 años,En buen estado,4996848-000028,3ª,,,,
Piso en alquiler en Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),2.200,70,Anuncio actualizado el 28/10/2024,,,Alquiler,70 m²,,2,2,,Entre 20 y 30 años,,IF5032-La Florida,2ª,,,,
Ático en alquiler en Calle de Felipe IV,Jerónimos (Distrito Retiro. Madrid Capital),4.500,133,Anuncio actualizado el 22/10/2024,,,Alquiler,133 m²,130 m²,3,2,,Más de 50 años,Reformado,4400-23657,Bajo,,,,
"Piso en alquiler en Calle de Bravo Murillo, cerca de Calle de Alvarado",Almenara (Distrito Tetuán. Madrid Capital),1.200,80,Anuncio actualizado el 23/10/2024,,,Alquiler,80 m²,80 m²,1,1,,,En buen estado,500564-35134,2ª,,,,
Piso en alquiler en Avenida de América,Prosperidad (Distrito Chamartín. Madrid Capital),2.500,95,Anuncio actualizado el 21/10/2024,,,Alquiler,95 m²,90 m²,2,2,,,Reformado,500635-111246,4ª,Incluidos en el precio,,,
Piso en alquiler en Calle de Velarde,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.050,55,Anuncio actualizado el 17/10/2024,,,Alquiler,55 m²,50 m²,1,1,,Entre 30 y 50 años,En buen estado,4528374-1,3ª,,,,
Piso en alquiler en Calle de Espronceda,Ríos Rosas (Distrito Chamberí. Madrid Capital),1.900,69,Anuncio actualizado el 25/10/2024,,,Alquiler,69 m²,55 m²,3,2,,Más de 50 años,En buen estado,STA39-RP1132024129918,,Entre 60 y 80 €,,,
Piso en alquiler en Las Tablas,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1.250,93,Anuncio actualizado el 28/10/2024,,,Alquiler,93 m²,,2,2,,,,AF105-1338/277,,,,,
Piso en alquiler en Calle de Villanueva,Recoletos (Distrito Salamanca. Madrid Capital),5.000,200,Anuncio actualizado el 28/10/2024,,,Alquiler,200 m²,,2,3,,Más de 50 años,En buen estado,SA88-ALQSQMOBV8,2ª,,,,
"Piso en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.600,60,Anuncio actualizado el 28/10/2024,,,Alquiler,60 m²,55 m²,1,1,,,En buen estado,SA88-ALQGVPADDD,5ª,,,,
Dúplex en alquiler en Majadahonda / Golf - El Carralero,Golf-El Carralero (Majadahonda),2.900,168,Anuncio actualizado el 22/10/2024,,,Alquiler,168 m²,,4,3,,Entre 20 y 30 años,A estrenar,SA4094-IDE1260924,3ª,,,,
"Piso en alquiler en Calle Teleferico de las Canteras, 2",El Cañaveral (Distrito Vicálvaro. Madrid Capital),1.290,108,Anuncio actualizado el 28/10/2024,Consumo:93 kWh/m² año,Emisiones:19 Kg CO₂/m² año,Alquiler,108 m²,,3,2,,,A estrenar,4526851-21049622,,,,,
"Piso en alquiler en Avenida Arribes del Duero, 14",Arroyos y Tempranales (San Sebastián de los Reyes),850,50,Anuncio actualizado el 21/10/2024,,,Alquiler,50 m²,,1,1,,,A estrenar,4528991-21490392,1ª,,,,
Chalet en alquiler en Núcleo Urbano,Núcleo Urbano (Villanueva de la Cañada),2.700,329,Anuncio actualizado el 28/10/2024,,,Alquiler,329 m²,,5,3,,Entre 20 y 30 años,,IF7144-ALQIT,,,367 m²,,
