Título,Ubicación,Precio,Habitaciones,Baños,Metros Cuadrados,Planta
Piso en calle de la Galera,Alameda de Osuna (Distrito Barajas. Madrid Capital),362.700 €,3 habs.,1 baño,108 m²,Bajo
,,,,,,
Piso en calle de Azcona,Guindalera (Distrito Salamanca. Madrid Capital),490.000 €,3 habs.,1 baño,69 m²,6ª planta
Piso en calle de Pedro Fernández Labrada,Puerta del Ángel (Distrito Latina. Madrid Capital),280.000 €,2 habs.,1 baño,60 m²,3ª planta
Piso en calle de Hilarión Eslava,Gaztambide (Distrito Chamberí. Madrid Capital),1.200.000 €,8 habs.,3 baños,265 m²,2ª planta
Piso en Castellana,Castellana (Distrito Salamanca. Madrid Capital),6.500.000 €,4 habs.,5 baños,462 m²,3ª planta
Chalet en La Florida,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),3.100.000 €,6 habs.,7 baños,1.500 m²,
"Chalet en calle Horche, 3",Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),3.650.000 €,5 habs.,7 baños,754 m²,
Piso en calle del General Díaz Porlier,Goya (Distrito Salamanca. Madrid Capital),1.150.000 €,2 habs.,3 baños,100 m²,1ª planta
Piso en calle María de Teresa de Calcuta,Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),1.295.000 €,4 habs.,3 baños,205 m²,3ª planta
"Casa adosada en calle de Julián Camarillo, 56",Simancas (Distrito San Blas. Madrid Capital),1.399.900 €,4 habs.,3 baños,282 m²,
Piso en Ensanche de Vallecas-Valdecarros,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),389.900 €,3 habs.,1 baño,124 m²,5ª planta
Piso en calle de la Palma,Universidad-Malasaña (Distrito Centro. Madrid Capital),400.000 €,2 habs.,92 m²,,
Piso en calle de las Infantas,Justicia-Chueca (Distrito Centro. Madrid Capital),944.900 €,7 habs.,3 baños,151 m²,3ª planta
Ático en calle de Luisa Fernanda,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),1.095.000 €,4 habs.,3 baños,160 m²,
Ático en Paseo de la Habana,Nueva España (Distrito Chamartín. Madrid Capital),5.800.000 €,4 habs.,5 baños,518 m²,
"Ático en Avenida de la Aviación, 34",Cuatro Vientos (Distrito Latina. Madrid Capital),583.900 €,3 habs.,2 baños,100 m²,
Piso en calle del Camino Viejo de Leganés,Opañel (Distrito Carabanchel. Madrid Capital),290.000 €,3 habs.,2 baños,94 m²,8ª planta
Piso en calle del General Oráa,Lista (Distrito Salamanca. Madrid Capital),1.090.000 €,3 habs.,2 baños,128 m²,4ª planta
Piso en Avenida de Concha Espina,Hispanoamérica (Distrito Chamartín. Madrid Capital),950.000 €,3 habs.,2 baños,141 m²,1ª planta
Piso en calle de Narciso Serra,Pacífico (Distrito Retiro. Madrid Capital),430.000 €,3 habs.,1 baño,70 m²,4ª planta
Piso en calle de Vélez Rubio,Apóstol Santiago (Distrito Hortaleza. Madrid Capital),195.000 €,2 habs.,1 baño,50 m²,
Piso en calle de Barceló,Justicia-Chueca (Distrito Centro. Madrid Capital),1.519.000 €,4 habs.,4 baños,211 m²,Bajo
"Piso en calle de Tetuán, 20",Sol (Distrito Centro. Madrid Capital),1.119.000 €,3 habs.,3 baños,136 m²,2ª planta
Piso en Avenida de Burgos,Castilla (Distrito Chamartín. Madrid Capital),600.000 €,4 habs.,2 baños,123 m²,13ª planta
Casa adosada en calle del Aire,Timón (Distrito Barajas. Madrid Capital),775.000 €,3 habs.,3 baños,235 m²,
Dúplex en calle de Claudio Coello,Castellana (Distrito Salamanca. Madrid Capital),1.050.000 €,2 habs.,2 baños,112 m²,
Piso en calle de Modesto Lafuente,Almagro (Distrito Chamberí. Madrid Capital),615.000 €,3 habs.,3 baños,81 m²,3ª planta
Piso en calle Joaquín Lorenzo,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),424.000 €,1 hab.,1 baño,36 m²,
Piso en calle de Júpiter,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),190.000 €,2 habs.,1 baño,38 m²,Bajo
Piso en calle de Nuestra Señora de Araceli,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),210.000 €,2 habs.,1 baño,57 m²,2ª planta
Piso en calle de Marina Usera,Zofío (Distrito Usera. Madrid Capital),198.000 €,3 habs.,1 baño,71 m²,1ª planta
Ático en calle de Juan de Urbieta,Niño Jesús (Distrito Retiro. Madrid Capital),900.000 €,1 hab.,2 baños,160 m²,
Piso en Paseo de la Castellana,Castilla (Distrito Chamartín. Madrid Capital),1.195.000 €,5 habs.,3 baños,220 m²,6ª planta
