Enlace,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
https://www.pisos.com/comprar/chalet_pareado-serranillos_del_valle_centro_urbano-45091667204_993816/,374.000,264,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '264 m²'), ('Superficie útil:', '264 m²'), ('Superficie solar:', '457 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4993816-003274')]",Alquiler
https://www.pisos.com/comprar/piso-goya28009-48384060574_100500/,536.000,73,Anuncio actualizado el 25/10/2024,Consumo:260 kWh/m² año,Emisiones:53 Kg CO₂/m² año,"[('Superficie construida:', '73 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 80 y 100 €'), ('Referencia:', 'SA5629-4526-06791')]",Alquiler
https://www.pisos.com/comprar/atico-nino_jesus28007-45066276232_997608/,900.000,160,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '160 m²'), ('Superficie útil:', '102 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Gastos de comunidad:', 'Entre 20 y 40 €'), ('Referencia:', '4997608-0120-00318')]",Alquiler
https://www.pisos.com/comprar/casa_pareada-cubas_de_la_sagra_centro_urbano-48429813858_101000/,320.000,162,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '162 m²'), ('Superficie útil:', '130 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Tipo de casa:', 'Pareada'), ('Referencia:', 'AF210-2304/420')]",Alquiler
https://www.pisos.com/comprar/chalet-el_olivar_de_mirabal28669-38340479437_102100/,2.370.000,750,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '750 m²'), ('Superficie solar:', '3 m²'), ('Habitaciones:', '5'), ('Baños:', '7'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM11-188703')]",Alquiler
https://www.pisos.com/comprar/piso-zofio28026-45065797739_440000/,198.000,71,Anuncio actualizado el 22/10/2024,Consumo:300 kWh/m² año,Emisiones:65 Kg CO₂/m² año,"[('Superficie construida:', '71 m²'), ('Superficie útil:', '66 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', '38'), ('Referencia:', '4400-23645')]",Alquiler
https://www.pisos.com/comprar/casa_adosada-daganzo_de_arriba_centro_urbano-47597817083_100200/,389.900,221,Anuncio actualizado el 12/09/2024,N/A,N/A,"[('Superficie construida:', '221 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC1119-592869')]",Alquiler
https://www.pisos.com/comprar/casa_adosada-sevilla_la_nueva_centro_urbano-43350089487_101000/,299.900,186,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '186 m²'), ('Superficie útil:', '178 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Tipo de casa:', 'Adosada'), ('Referencia:', 'AF169-2131/155')]",Alquiler
https://www.pisos.com/comprar/duplex-galapagar_centro-31687526845_510261/,175.000,78,Anuncio actualizado el 14/10/2024,N/A,N/A,"[('Superficie construida:', '78 m²'), ('Superficie útil:', '70 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 40 y 60 €'), ('Referencia:', '4510261-400 MONASTERIOR')]",Alquiler
https://www.pisos.com/comprar/duplex-centro_la_estacion_prado_de_la_laguna-4294468571_109700/,279.700,78,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '78 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889238')]",Alquiler
https://www.pisos.com/comprar/casa-chinchon_centro_urbano-18392429127_998937/,230.000,234,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '234 m²'), ('Superficie útil:', '210 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4998937-V-2106-J')]",Alquiler
https://www.pisos.com/comprar/piso-casco_historico_de_vallecas28031-48422434311_100500/,176.000,62,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '62 m²'), ('Superficie útil:', '50 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5629-4526-06782')]",Alquiler
