Título,Ubicación,Precio,Habitaciones,Baños,Metros Cuadrados,Planta
Piso en calle de Ventura Rodríguez,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),650.000 €,3 habs.,2 baños,135 m²,1ª planta
,,,,,,Sin información
,,,,,,
Piso en calle de Narciso Serra,Pacífico (Distrito Retiro. Madrid Capital),430.000 €,3 habs.,1 baño,70 m²,4ª planta
,,,,,Sin información,Sin información
Piso en calle del General Pardiñas,Lista (Distrito Salamanca. Madrid Capital),2.490.000 €,4 habs.,4 baños,258 m²,1ª planta
Piso en calle de Alfonso XII,Jerónimos (Distrito Retiro. Madrid Capital),1.500.000 €,8 habs.,5 baños,281 m²,1ª planta
,,,,Sin información,Sin información,Sin información
Piso en calle de Santa Engracia,Almagro (Distrito Chamberí. Madrid Capital),3.100.000 €,3 habs.,4 baños,322 m²,5ª planta
Piso en calle de Sierra Elvira,Numancia (Distrito Puente de Vallecas. Madrid Capital),138.990 €,1 hab.,1 baño,42 m²,2ª planta
Piso en calle de Embajadores,Delicias (Distrito Arganzuela. Madrid Capital),580.000 €,2 habs.,2 baños,114 m²,Sin información
Ático en calle de Alcalá,Goya (Distrito Salamanca. Madrid Capital),1.250.000 €,2 habs.,2 baños,143 m²,Sin información
Piso en calle de Alcalá,Canillejas (Distrito San Blas. Madrid Capital),163.000 €,2 habs.,1 baño,57 m²,Entresuelo
Piso en Palomeras Bajas,Palomeras Bajas (Distrito Puente de Vallecas. Madrid Capital),139.500 €,2 habs.,1 baño,65 m²,3ª planta
