Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características
310.000,181,Anuncio actualizado el 09/08/2024,Consumo:27 kWh/m² año,Emisiones:6 Kg CO₂/m² año,"[('Superficie construida:', '181 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4995907-19514080')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
354.000,278,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '278 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449150')]"
350.000,125,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '125 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4992497-MV')]"
355.000,127,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '127 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4992497-MV')]"
358.000,285,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '285 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21460765')]"
358.000,285,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '285 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21460765')]"
358.000,285,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '285 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21460765')]"
358.000,285,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '285 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21460765')]"
358.000,285,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '285 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21460765')]"
358.000,285,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '285 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21460765')]"
358.000,285,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '285 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21460765')]"
358.000,285,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '285 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21460765')]"
358.000,285,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '285 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21460765')]"
