Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características
279.700,107,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '107 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889234')]"
359.700,134,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '134 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889240')]"
359.700,134,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '134 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889240')]"
359.700,134,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '134 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889240')]"
359.700,134,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '134 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889240')]"
359.700,134,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '134 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889240')]"
359.700,134,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '134 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889240')]"
359.700,134,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '134 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889240')]"
359.700,134,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '134 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889240')]"
279.700,78,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '78 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889238')]"
367.700,154,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '154 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '-21433157')]"
279.700,85,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889261')]"
279.700,107,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '107 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889233')]"
287.700,83,Anuncio actualizado el 20/10/2024,N/A,N/A,"[('Superficie construida:', '83 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889255')]"
