Enlace,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características
https://www.pisos.com/comprar/casa_pareada-cubas_de_la_sagra_centro_urbano-48429813858_101000/,320.000,162,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '162 m²'), ('Superficie útil:', '130 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Tipo de casa:', 'Pareada'), ('Referencia:', 'AF210-2304/420')]"
https://www.pisos.com/comprar/casa_pareada-cubas_de_la_sagra_centro_urbano-47585759131_101800/,267.000,220,Anuncio actualizado el 24/09/2024,Consumo:220 kWh/m² año,Emisiones:45 Kg CO₂/m² año,"[('Superficie construida:', '220 m²'), ('Superficie solar:', '316 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Tipo de casa:', 'Pareada'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF76953-ALMENDROS')]"
https://www.pisos.com/comprar/piso-parque_oeste_fuente_cisneros_campodon-47502334822_100200/,320.000,74,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '74 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', 'TC47-593640')]"
https://www.pisos.com/comprar/piso-goya28001-48405581141_100500/,595.000,46,Anuncio actualizado el 04/10/2024,N/A,N/A,"[('Superficie construida:', '46 m²'), ('Superficie útil:', '39 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Gastos de comunidad:', 'Entre 60 y 80 €'), ('Referencia:', 'SA515-1247V672/1084')]"
https://www.pisos.com/comprar/piso-goya28006-40907411439_101800/,1.400.000,150,Anuncio actualizado el 21/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '150 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '7ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF75984-M11319V')]"
https://www.pisos.com/comprar/casa_unifamiliar-colmenar_viejo_centro-47519998047_528821/,314.900,290,Anuncio actualizado el 29/09/2024,Consumo:66 kWh/m² año,Emisiones:66 Kg CO₂/m² año,"[('Superficie construida:', '290 m²'), ('Superficie útil:', '139 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Tipo de casa:', 'Unifamiliar'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4528821-MORALAS')]"
https://www.pisos.com/comprar/piso-jeronimos28014-39205289325_101800/,3.000.000,275,Anuncio actualizado el 21/10/2024,Consumo:146 kWh/m² año,Emisiones:30 Kg CO₂/m² año,"[('Superficie construida:', '275 m²'), ('Habitaciones:', '3'), ('Baños:', '4'), ('Planta:', '1ª'), ('Referencia:', 'IF75984-M11293V')]"
https://www.pisos.com/comprar/apartamento-chamartin_hispanoamerica28036-5050203265_100100/,600.000,74,Anuncio actualizado el 24/02/2023,N/A,N/A,"[('Superficie construida:', '74 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '7ª'), ('Gastos de comunidad:', '290'), ('Referencia:', '4521170-DE-EUR- 280519713AL-86065348')]"
https://www.pisos.com/comprar/atico-chamberi_almagro28010-46722830215_101800/,3.500.000,355,Anuncio actualizado el 10/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '355 m²'), ('Habitaciones:', '6'), ('Baños:', '4'), ('Planta:', '5ª'), ('Referencia:', 'IF76602-M20693V')]"
https://www.pisos.com/comprar/piso-pueblo28223-39190991125_101800/,1.000.000,82,Anuncio actualizado el 10/10/2024,Consumo:17 kWh/m² año,Emisiones:3 Kg CO₂/m² año,"[('Superficie construida:', '82 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Antigüedad:', 'Menos de 5 años'), ('Referencia:', 'IF76602-M20530V')]"
https://www.pisos.com/comprar/apartamento-bellas_vistas28040-35921605725_102100/,447.700,65,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'GM14-188083')]"
https://www.pisos.com/comprar/piso-fuente_del_berro28027-40058888119_102100/,322.700,66,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '66 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Referencia:', 'GM14-192801')]"
https://www.pisos.com/comprar/chalet_pareado-villalbilla_centro_urbano-45051494815_524533/,480.000,212,Anuncio actualizado el 13/10/2024,N/A,N/A,"[('Superficie construida:', '212 m²'), ('Superficie útil:', '200 m²'), ('Superficie solar:', '350 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4524533-SER0195')]"
https://www.pisos.com/comprar/piso-lista_barrio28006-47501887233_101800/,1.175.000,106,Anuncio actualizado el 23/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '106 m²'), ('Habitaciones:', '3'), ('Baños:', '4'), ('Planta:', '8ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF75984-M11469V')]"
https://www.pisos.com/comprar/casa-colmenar_viejo_fuente_santa-45863240257_528556/,649.900,381,Anuncio actualizado el 17/10/2024,Consumo:241 kWh/m² año,Emisiones:62 Kg CO₂/m² año,"[('Superficie construida:', '381 m²'), ('Superficie útil:', '381 m²'), ('Superficie solar:', '525 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4528556-Independiente Colmenar Viejo')]"
https://www.pisos.com/comprar/chalet_pareado-castilla28034-39219273202_102100/,2.905.000,565,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '565 m²'), ('Superficie solar:', '773 m²'), ('Habitaciones:', '6'), ('Baños:', '7'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM14-186887')]"
