Enlace,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características
https://www.pisos.com/comprar/duplex-centro_la_estacion_prado_de_la_laguna-4253822196_109700/,279.700,107,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '107 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '-20889234')]"
https://www.pisos.com/comprar/casa_adosada-sevilla_la_nueva_centro_urbano-43350089487_101000/,299.900,186,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '186 m²'), ('Superficie útil:', '178 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Tipo de casa:', 'Adosada'), ('Referencia:', 'AF169-2131/155')]"
https://www.pisos.com/comprar/piso-castilla28046-47570409169_101800/,1.195.000,220,Anuncio actualizado el 26/09/2024,N/A,N/A,"[('Superficie construida:', '220 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Planta:', '6ª'), ('Referencia:', 'IF7146-p1765')]"
https://www.pisos.com/comprar/casa_adosada-los_arcos_el_viviero-4890145426_109700/,564.500,397,Anuncio actualizado el 10/10/2024,N/A,N/A,"[('Superficie construida:', '397 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Tipo de casa:', 'Adosada'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528888-21478440')]"
https://www.pisos.com/comprar/casa_adosada-daganzo_de_arriba_centro_urbano-47597817083_100200/,389.900,221,Anuncio actualizado el 12/09/2024,N/A,N/A,"[('Superficie construida:', '221 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC1119-592869')]"
https://www.pisos.com/comprar/piso-guindalera28028-47580583201_440000/,490.000,69,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Superficie útil:', '61 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '6ª'), ('Interior:', 'A patios de manzana'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'A reformar'), ('Gastos de comunidad:', '110'), ('Referencia:', '4400-23672')]"
https://www.pisos.com/comprar/casa_pareada-cubas_de_la_sagra_centro_urbano-48429813858_101000/,320.000,162,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '162 m²'), ('Superficie útil:', '130 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Tipo de casa:', 'Pareada'), ('Referencia:', 'AF210-2304/420')]"
https://www.pisos.com/comprar/chalet-alpedrete_centro_urbano-40063657817_100500/,635.000,2.725,Anuncio actualizado el 24/10/2024,Consumo:300 kWh/m² año,Emisiones:300 Kg CO₂/m² año,"[('Superficie construida:', '2.725 m²'), ('Superficie útil:', '230 m²'), ('Superficie solar:', '2.725 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA193-3019')]"
https://www.pisos.com/comprar/piso-zona_sureste-4419372238_109700/,319.900,82,Anuncio actualizado el 16/09/2024,N/A,N/A,"[('Superficie construida:', '82 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '6ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '4991481-21081762')]"
https://www.pisos.com/comprar/casa_unifamiliar-galapagar_la_navata28420-41757279215_101000/,650.000,466,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '466 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Tipo de casa:', 'Unifamiliar'), ('Referencia:', 'AF2-514/738')]"
