Enlace,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida:,Superficie útil:,Habitaciones:,Baños:,Planta:,Antigüedad:,Conservación:,Gastos de comunidad:,Referencia:,Tipo de casa:,Superficie solar:,Exterior:,Interior:
https://www.pisos.com/alquilar/piso-la_finca-47557750571_280500/,5.5,190.0,24/10/2024,15,2,Alquiler,190.0,170.0,3.0,3.0,2ª,Menos de 5 años,En buen estado,Incluidos,2805-002404,Piso,,,
https://www.pisos.com/alquilar/casa_unifamiliar-las_matas_los_penascales-29189878080_280500/,4.0,600.0,24/10/2024,,,Alquiler,600.0,600.0,6.0,7.0,,Entre 5 y 10 años,En buen estado,,2805-002317,Unifamiliar,,,
https://www.pisos.com/alquilar/casa_adosada-sector_b28660-44200537282_100200/,3.6,448.0,21/10/2024,,,Alquiler,448.0,,5.0,2.0,,Menos de 5 años,En buen estado,,TC170-581681,Adosada,,,
https://www.pisos.com/alquilar/piso-somosaguas_humera_los_angeles-47519129575_280500/,1.45,69.0,24/10/2024,,,Alquiler,69.0,48.0,1.0,1.0,1ª,Menos de 5 años,En buen estado,,2805-002408,Piso,,,
https://www.pisos.com/alquilar/piso-valdezarza28035-45021521231_101800/,950.0,50.0,24/10/2024,,,Alquiler,50.0,,1.0,1.0,6ª,,,,IF5032-J. Andrés,Piso,,,
https://www.pisos.com/alquilar/piso-universidad_malasana28013-48381283236_528417/,3.5,122.0,03/10/2024,70,15,Alquiler,122.0,120.0,2.0,2.0,8ª,Entre 5 y 10 años,Reformado,,4528417-000005,Piso,,,
https://www.pisos.com/alquilar/piso-zona_avenida_de_europa28224-45068829832_101800/,1.4,65.0,24/10/2024,,,Alquiler,65.0,,1.0,1.0,2ª,,,,IF5032-avda-1d-V T 40m,Piso,,,
https://www.pisos.com/alquilar/piso-casa_de_campo28008-46681637255_100500/,3.0,85.0,24/10/2024,,,Alquiler,85.0,,2.0,2.0,4ª,,En buen estado,,SA5184-105690166,Piso,,,
https://www.pisos.com/alquilar/atico-fuencarral_el_pardo_las_tablas28050-48426361500_100500/,3.95,350.0,24/10/2024,,,Alquiler,350.0,280.0,4.0,4.0,4ª,Menos de 5 años,En buen estado,,SA2557-105981723,Piso,,,
https://www.pisos.com/alquilar/piso-carabanchel_buenavista28044-47532300472_996848/,1.075,62.0,10/10/2024,,,Alquiler,62.0,50.0,1.0,1.0,3ª,Entre 20 y 30 años,En buen estado,,4996848-000028,Piso,,,
